places,time,tweet
E PLURIBUS UNUM,2021-01-15 16:55:49,"Beautiful New Orleans, nicknamed “the Big Easy,” was the largest city in Louisiana. It was known for its nightlife, cuisine, music, and Mardi Gras! On January 13, 2021, Trump’s incompetent #coronavirus response wiped out its entire population of 390,144 to #COVID19

@JoyAnnReid https://t.co/09uq23uWtq https://t.co/onStwi7EDh"
"Vienna, Austria",2021-01-15 16:55:49,"@merricat_bwp @RachelS57708084 @agy_lena I think this is key with #COVID19 because we know that abnormal immune response can be prolonged, maybe not ""strong"" enough to kill, but long. People are at great risk here because of the pandemic, of course. Keen to look at similar vs diverse mechanisms in other infections"
"Toronto, Canada",2021-01-15 16:55:48,"Interviewed on the Bill Kelly show talking retail post COVID-19 #retail #covid19 #recovery #ecommerce #luxury #value #industryconsolidation #malls #shoppingmalls #trends #bopis #curbsidepickup #delivery #supplychain #branding #marketing 
https://t.co/qDLjyftgKJ https://t.co/xbfwcaB7nR"
"Hamilton, Ontario",2021-01-15 16:55:48,"The Bill Kelly Show Podcast: #COVID19 testing in schools, U.S. allies expect Biden to re-engage in global circles &amp; How are police enforcing the new #StayAtHome Order? @ChmlBillKelly #testingschools #onted #UofGResearch #cdnpoli #onpoli #HamOnt
LISTEN: https://t.co/o6Dn7Elc5V"
Nicaragua,2021-01-15 16:55:47,Thanks our president #DanielOrtega in the next month #Nicaragua will start to apply the #COVID19 Vaccine! Free for more than 3 million people! @danielmkovalik @MaxBlumenthal @anyaparampil @DrJillStein @jaarreaza @GlobalFund @codepink
Earth,2021-01-15 16:55:47,"@seanhannity Well, if she had her mask on and they work, what's the problem?  #COVID19"
SouthEast Minnesota,2021-01-15 16:55:46,"I recently interviewed @jeremymunson on what he thinks about @GovTimWalz's actions against #COVID19. The interview is out now!

https://t.co/LbGHG48JS8"
,2021-01-15 16:55:43,"Perhapa this new variant will finally put people off from 'getting a Brazilian'.

#COVID19"
"Philadelphia, PA",2021-01-15 16:55:43,Truth! #COVID19 #CovidVaccine https://t.co/hgRSUuzrRy
"Rio de Janeiro, Brazil",2021-01-15 16:55:41,Bolsonaro is actively cutting off oxygen for #COVID19 patients in Manaus. Is it the case for #R2P? 👉 https://t.co/AdK14ltn1K @colwight @Ir2Pwg @Alex_J_Bellamy @HagueInstitute @ICCT_TheHague @tomphillipsin
The North of England,2021-01-15 16:55:40,"#Portugal again has near all-time high #Covid19 infections, with 10,663 today's figure

But that is only 487 more than last Friday.
Portuguese issued two updates yesterday, the later one revising the earlier fall in cases, and instead upping the total to 10,698, a national record"
DuPage/Will/Kane/Cook/Kendall Counties,2021-01-15 16:55:39,"Together, with continued masking, social distancing and the #COVID19 vaccine, we can bring this pandemic to an end. We can make 2021 a brighter year. https://t.co/gQkFxDu0Wz #SleeveUp #WearAMask https://t.co/scNVAq0iFa"
"North Carolina, USA",2021-01-15 16:55:39,"From esteemed doctor and fellow *runner* Tom Solomon @RunningMadProf, the latest on how #COVID19 affects the nervous system...in @NatRevNeurol: https://t.co/GkwkxujmeJ"
Toronto Canada Scotland,2021-01-15 16:55:39,"'#Toronto police say new provincial stay-at-home order does not give them power to enter homes, pull over vehicles or ask pedestrians why they are outside for sole purpose of finding out whether they are complying with the order.' #onpoli #COVID19 https://t.co/36k5WRT5nP"
"Springfield, IL",2021-01-15 16:55:36,"Check our Dr. Ngozi Ezike's message to all #LTC facility staff regarding the #COVID19 vaccine.  #GetVaccinated #VaxUpIL
https://t.co/zvSdQd0n7I https://t.co/Vh7ZwtzggV"
Bermuda,2021-01-15 16:55:35,"Let’s continue to make progress with #COVID19.  There are testing slots available for this weekend. Please get tested &amp; let’s continue to keep the coronavirus under control in #Bermuda.

To book your appointment &amp; for more info visit: https://t.co/N8EuOP3k4P https://t.co/TYeTogaJdS"
,2021-01-15 16:55:35,"Americans are being more careful about protecting themselves from #COVID19, but experts say it’s not enough. ""The behaviors that we have right now are not good enough, we still need to do better in order to bring this virus down much faster"" says @AliHMokdad of @IHME_UW. https://t.co/pITcUlSgwA"
,2021-01-15 16:55:34,I stand with #India since #COVID19 started they treated sick ppl instead of waiting for a vaccine. https://t.co/8187ArpMno
"New York, NY",2021-01-15 16:55:31,"LIVE presser now @NYGovCuomo says new US #COVID19 #vaccine eligibility = 7.1 million NYers. But only 300,000 doses were delivered to NYS. So, he says, Feds ""increased the eligibility, but didn't increase supply."" Supply fell to only 250K doses this wk.
https://t.co/TC2vCFJtZi https://t.co/aZP6nbbTYH"
"New York, USA",2021-01-15 16:55:30,"DM @Criticalwriter5 to get help in,
#assignment
#homework 
#assignment 
#discussion 
#online class
#research paper 
#pay someone write 
#essay due 
#Theology
#Book review
#homeworkslave
#Business  #hwslave #COVID19
Hit legit writers

Call/text or Whatsapp +1 (629) 237-5691"
"New York, NY",2021-01-15 16:55:30,Well said @rajshah #COVID19 https://t.co/qY2SjARi0W
"Marietta, GA",2021-01-15 16:55:28,@NYCMayor The state of #georgia is withholding plenty. Call @GovKemp and see what he says. He doesn’t take care of his people the way #nyc does. We can’t even get a #maskmandate for just 14 days. Won’t close bars or gyms. #COVID19 #CovidVaccine #LeadershipMatters
"West Midlands, England",2021-01-15 16:55:26,"We are now seeing new variant of #COVID19
The new variant spreads much more easily and is just as deadly as the previous strain of the virus.
This is a dangerous situation, stay home as much as possible.
If not we will see hospitalisations and deaths continue to rise.
#StayHome https://t.co/3pJLOd8K46"
India,2021-01-15 16:55:25,"#DNA: Top News of the Day | January 15, 2021; Saif Ali Khan starrer political drama 'Tandav' trends on Twitter!

#TandavOnPrime #CoronaVaccine #COVID19 

https://t.co/A6guVx7cX7"
"South Dakota, USA, Earth",2021-01-15 16:55:23,My @SDEPSCoR research disciple @Sdrummond48 gave an awesome talk on UV quinone production in simulated prebiotic planetary environments in my @IAstrobiologia #VCIAB #prebioticchemistry session...and did so while battling #COVID19 infection. Check it! @DakotaState @dsuint_national https://t.co/sWMHP0fDQn
"Tampa, Florida",2021-01-15 16:55:18,And this..... #Covid19 vaccine reserve did not exist?? https://t.co/j68ctRkTWT
,2021-01-15 16:55:17,"Are you in the #uk #UnitedKingdom #shielding due to #Covid19UK #coronavirus #covid #covid19 #coronavirusuk #corona #theplague A fantastic group to support those shielding / vulnerable! All should join this! #join #joinus 

https://t.co/6VDkbWBL1m…

https://t.co/RlcQIfAIHI https://t.co/fiqrZ82L95"
,2021-01-15 16:55:17,"@dwppressoffice wait for it. £76 to cover me for the full of January to the 17th of Febuary due to job closing 24th of December because of #COVID19 
 Absolute riot 

#NotGoodEnough 

@MarcusRashford @jamesenglish0 

Government is a Sham."
⚓ Lost @ Sea ⚓ ,2021-01-15 16:55:17,"Hillary @HillaryClinton just tweeted #COVID19 ""was never like the flu"", I just want to add, ironically, We Hope It Does Become Like The Flu! Of course better, would ""Be Best"", but just getting it to Flu Level would be A Great Start!
Yep! #JustSayin #FactsMatter #FYI"
"Nuevo Laredo, Tamaulipas",2021-01-15 16:55:12,"Health Alert – #COVID19 Testing Requirement for Air Travel
https://t.co/eIpzuT6Efn"
"Toronto, ON",2021-01-15 16:55:10,"As community hubs for client-centred #MentalHealth services, Family Service agencies will continue providing counselling, psychotherapy, and psychoeducation to support all Ontarians throughout #COVID19. We make it happen. https://t.co/Z1BfBtKeDe"
"Stornoway, United Kingdom",2021-01-15 16:55:10,"The 2021 entry deadline for ALL UCAS undergraduate courses has been extended to 29 January due to #Covid19.

We can support you with more information, help you with your application and help you find the support you need to study with us at #LCCUHI 

#StudyLCC #ThinkUHI https://t.co/KEKv0CAQpf"
New York City,2021-01-15 16:55:10,Op-ed points to FDA's flexibilities with the development of #COVID19 treatments and vaccines; says same flexibility and urgency should apply to #pediatriccancer. https://t.co/e5UXyZReb6 https://t.co/iTl4JNNXSG
"Nanaimo, British Columbia",2021-01-15 16:55:10,"“Now, where were we? Oh yes, you were telling me that it’s raining today? And you want to jump in some muddy puddles?” “MUDDY PUDDLES!” she exclaims.  | #personalstory #firstperson #pandemic #covid19 #coping @globeandmail The Globe and Mail https://t.co/kqtReRByBX https://t.co/O7A7j30i5A"
Doncaster,2021-01-15 16:55:09,"Day 104 since #COVID19 , the positive I have gained since having covid is the support I have had from others.  I have met wonderful people who I never knew before who have been willing to help and take time out of their day. To end Friday on a +ve I want to thank @respphysio 1/2"
"Philadelphia, PA",2021-01-15 16:55:09,"Mark your calendar for our first virtual conversation of 2021—From Testing to #Vaccines to Equity: Navigating the Remainder of the #COVID19 School Year

📅 Friday, January 22 at 10:30 a.m. EST

Free &amp; open to the public ⤵️
https://t.co/D2TIHuJf7q https://t.co/Om5dmhgEjt"
"London, Ontario",2021-01-15 16:55:09,"""Remember that you have more control than you think."" https://t.co/yfuqYdTmn8
#MentalHealth #meditation #COVID19"
,2021-01-15 16:55:08,"#impeach these 10 traitors:
#CNN #ABC #NBC #CBS #FOX #NYTimes #election #COVID19 #PPP $2000 #StimulusChecksNOW https://t.co/S350AGIwCI"
"Ballymena, Northern Ireland",2021-01-15 16:55:04,"*CUSTOMER UPDATE*
Under new government guidelines, we will be closed. During this time, if you have any enquiries, please get in touch with us here on our Facebook page, or contact us  on 07703623999. Stay safe until we see you again.Thanks🥰 #jewellery #COVID19 #SmallBusinesses https://t.co/emUdkLTUz5"
United Kingdom,2021-01-15 16:55:03,"After a year of unprecedented challenge, change and transformation our new series of bulletins will focus on capturing and sharing the reflections and learning. Keep an eye out tomorrow morning at 10.30.
#GGIilluminations #Covid19 #NHS #publicsector"
Canada,2021-01-15 16:55:02,"...the passport ""needs to be as easy as online banking""... The project is also developing as new strains of COVID-19 are popping up worldwide...

#Rockefeller #COVID19 #Surveillance System

https://t.co/6UIDp1XmN3 https://t.co/3se8RGQRtq"
"Kilkenny, Ireland",2021-01-15 16:55:01,#LeoTheLiar at his usual party trick of spinning and lying about previous events to make them out to be something they aren't and never were. Of course no chance of him being challenged on any of his lies by #rte #LeoTheLeak #finegael #lies #NPHET #covid19 https://t.co/zYdoUzOesL
💙🇪🇺🇬🇧🇵🇱 🇮🇪🇮🇹,2021-01-15 16:55:01,"@chrischirp #Covid19 Data 15 January 2021

Since Boxing Day there have been &gt;1.09 million new cases of Covid-19, a further 17,046 deaths in the UK due to the Covid-19 virus, and 37,282 patients now in hospitals, according to government data.

Indecision and delays cost lives.

@PMPmagToday https://t.co/3Q1Auhpnre"
,2021-01-15 16:55:01,"#COVID19 has created unprecedented challenges for workers, businesses, and organizations that support them. The Job Quality Tools Library by @AspenWorkforce can spark practical action and help practitioners address #jobquality during this difficult time. https://t.co/HhS7peXzYp"
"London, England",2021-01-15 16:55:00,"Have you seen our new animation? It gives 5 reasons why people shouldn't be worried about getting the new #COVID19 vaccine.

Watch and share: https://t.co/4WD7BPt6e5"
Minneapolis,2021-01-15 16:55:00,"388,692 people are dead from #COVID19. That's greater than the entire population of Bakersfield, California which is America's 52nd largest city.

https://t.co/wCKYFcBNT6

5⃣2⃣ #Bakersfield #California #CA #COVID19 #deaths https://t.co/BIyOxwv9YL"
DM not for hooking up so don't,2021-01-15 16:54:57,https://t.co/zXeOZwq84K #Online #virtuallearning #learning #learningfromhome #homeschooling2021 #homeschooling #research #AcademicTwitter #AcademicChatter #homelearning #zoom #MotivationalQuotes #Read while on #COVID19 #COVIDー19 #coronavirus #CoronavirusStrain  #lockdown
1060-W-Addison-St-Chicago-IL,2021-01-15 16:54:56,"Professional athletes (and all actors) should go in phase 4 and only after everyone including statues, rocks, turtles, and trees get vaccinated. #charlesbarkleyvaccine. #COVID19 #CovidVaccine #ChinaLiedPeopleDied https://t.co/YKbDzb4jLE"
NYC,2021-01-15 16:54:56,Based on data ... the holiday #COVID19 surge is past peak ... positivity in NY now on a steady decline #nbc4ny https://t.co/Dw8kosLZpy
"Riverdale Park, MD ",2021-01-15 16:54:56,A #doubledip global #recession claim based on changes in #CO2 #emissions levels!  https://t.co/4h10pZNq1O #economy #climate #recovery? #secondwave #CCPVirus #WuhanVirus #coronavirus #COVID19 #ThanksChina!
,2021-01-15 16:54:55,"@RishiSunak just watched #planforjobs #apprenticeships session  https://t.co/sExA4PgD3l. @DarrenLeeAvery raised a serious issue about English/maths FSQs exams &gt;45k of exams not sat due to #COVID19, #apprentices can't complete their #Apprenticeship. PLEASE HELP @AELPUK to resolve"
In the Archives ,2021-01-15 16:54:52,"Lauren Boebert’s mom told kids the Easter Bunny might “die” while pretending to be a coughing, #COVID19 positive Easter Bunny.

Boebert’s mom captioned the video, “Easter bunny has the #chinesevirus.” https://t.co/IBGoeZhHtn"
"Jackson, TN",2021-01-15 16:54:51,"#CoronavirusUpdate: As of 10 a.m. today, we now have 9,837 confirmed cases of #COVID19 in Madison County—up 53 from yesterday.

📍 27 Madison County residents hospitalized
📍 7410 Recovered
📍 620 Not Recovered
📍 935 Better
📍 716 Unknown
📍 156 Deaths
📍 1555 Active Cases https://t.co/htcCUV3adq"
"Karimganj, India",2021-01-15 16:54:50,PM @narendramodi ji will launch world's largest COVID-19 vaccination drive via video conferencing. at 10.30 am on 16th January. #LargestVaccineDrive #CoronaVaccine #CovidVaccine #COVID19 https://t.co/W3FXGX6qAd
"Washington, DC",2021-01-15 16:54:47,Our paper on the uneven effects of #COVID19 across gender and age is now out in @cepr_org Covid Economics! https://t.co/lEHRiHZRmd
,2021-01-15 16:54:46,Dry-run activity using NIMS and MIS for #COVID19 Vaccination in District Zhob under supervision of Operation Cell Heath Department @jam_kamal @FazeelAsgharDMG @Noor_Baloch72 @MHayatKakar @HealthDepartme5 @nhsrcofficial @NIH_Pakistan @Sarmadky @HealthDepartme5 https://t.co/6fba9P3uVa
"Ely, England",2021-01-15 16:54:40,Are there any charities supporting the mental health of NHS staff and care workers? #COVID19
,2021-01-15 16:54:37,"... and the results are in!  COVID test negative, but will still be wearing a mask/social distancing/generally hiding from other humans! Thanks @MRC_IGMM @chromatinlab @EdinburghUni  #COVID19"
"Charleston, SC",2021-01-15 16:54:35,Alot of red flags raised over Frank Marting being diagnosed twice with Covid. How about 4400 people died in the USA YESTERDAY #COVID19
"Florence, AL",2021-01-15 16:54:34,"How cool is this?!? I worked in this village and region as an Itinerant Therapist! Work it out, Kotzebue! 💙 #COVID19 #CovidVaccine #Alaska https://t.co/N7vtZZSRpx"
,2021-01-15 16:54:33,Public Health England have confirmed another 1280 deaths today. The PM plans to address the nation at 17:00 with the concerns over the new #Covid19 Brazilian variant detected in the UK
,2021-01-15 16:54:31,"Jesus H Christ😨

The incompetence of the #Trump administration
&amp; the lies they told us about the number of #Vaccines they had
was all bullshit

No wonder the stock market is down

He has left #JoeBiden
a BIGLY mess to clean up
in every area of government

#CoronaVirus
#Covid19 https://t.co/upJNtc36SN"
London,2021-01-15 16:54:31,"How about a Zoom one night only special with songs from @chessthemusical sung by @iamcedricneal @timhowar @cassidyjanson @PhillipBrowne @mrmichaelball @alexandramusic 
with proceeds going to a fund supporting arts/performers during #COVID19 ?
@StephenMear @neilseanshowbiz https://t.co/HlHVUuPwkD"
"Trenton, NJ",2021-01-15 16:54:30,"Oh hey there positive #COVID19 test in my kids' daycare and the subsequent closing of the infant and toddler rooms and possible 14 day quarantine with 2 kids 6 and under. 
#GoodTimes
#FML"
,2021-01-15 16:54:28,@ctvottawa @ThomasRVPE Lets pray it is ! #COVID19 #vaccinationCovid https://t.co/ZtCJjlwU6p
USA,2021-01-15 16:54:26,"Did you know that during the first half of #COVID19, 45% of Americans named a new favorite kind of #wine? Among all types, #rosé was revealed to be the top choice! 

Has the pandemic opened your eyes to a new favorite kind of wine? Let us know how! https://t.co/CUKx1aFZo8"
"Washington, DC",2021-01-15 16:54:25,"This is a perfect example of why many folks are hesitant to travel. A year into the #COVID19 #pandemic and people still fail to practice #socialdistancing.  Also, shame on @Amtrak for not doing more to encourage and enforce it. https://t.co/8qd44J7rct"
"Harrisburg, PA",2021-01-15 16:54:23,A positive #COVID19 reported by #Pennsylvania @RepPattyKim. She says she'll be quarantining at home. #PaGov #PApol #HarrisburgPA https://t.co/YFt0JmF1ee
#Aberdeen🐝🛡️Obar Dheathain,2021-01-15 16:54:20,"Daily Brief: #BreakingNews
1,280 #COVID19 deaths 15/1/21 #CovidUK #COVID21
55,761 new cases
Sad(: Thoughts for all(:
Will not get better until
#furlough
#CloseSchoolsNOW
#CloseTheBorder
https://t.co/Bvw9wKEwHL
@updayUK
Time #Scotland prepare #SE21 #indyref2021
#DissolveTheUnion"
"London, UK",2021-01-15 16:54:19,My elderly dad is getting his #Covid19 vaccine next Tuesday. I checked his mobile yesterday &amp; there was a text telling him to book a date &amp; time. He doesn't check his texts - it was by pure chance I looked &amp; found it! Text was sent TEN days ago &amp; I worried it would be too late.😅
,2021-01-15 16:54:19,"@BaddCompani @HunterJCullen Am biting my tongue &amp; refraining frm snark, cuz have spent 12hrs in #Twitmo already this week

But Yea for the cop who saved more than a few #CongressMmbrs, like @SpeakerPelosi &amp; a lot of @HouseDemocrats mmbrs. 

Of course @HouseGOP mmbrs gave them #COVID19 but another story 🤦🏻‍♀️"
Newcastle upon Tyne,2021-01-15 16:54:16,"At last! Businesses hurt by #COVID19 can now claim for #BusinessInterruption insurance following a new #SupremeCourt ruling – get the details here https://t.co/5Qq7jIPhIi

#DisputeResolution #Litigation #NELawFirmOfChoice #BounceBack #businessinterruption #insurance"
I am where I am,2021-01-15 16:54:16,"@BCOOL333 Pardon me? 😄

If #DonaldTrump first, go on tv and concede and say there was no election fraud, @JoeBiden won fair and square. Then throw in that he mishandled #COVIDー19 for good measure I would pardon him and his family. 😆

#pardon #COVID19 #helloNY #helloDC #helloUSA"
"USA, Canada, UK, Australia",2021-01-15 16:54:14,"#OSHA’s upcoming #RecordkeepingStandard deadline is coming up - are you prepared? Do you need guidance on reporting #COVID19 illnesses? Learn more about how our product, services and resources can help you stay in #compliance https://t.co/4y7JLXnEUP https://t.co/1PyeJcB526"
,2021-01-15 16:54:13,"Not knowing the source of infection is the literal definition of community spread, @CDCofBC 
#covid19 #bcpoli https://t.co/lzTpei2ZjI"
"Toronto, Ontario",2021-01-15 16:54:12,"The City of Vaughan says it has shut down outdoor skating rinks, toboggan hills and dog parks “effective immediately” in an attempt to curb the spread of the coronavirus.
https://t.co/r6AaVYD6v3 @globalnewsto #COVID19"
USA,2021-01-15 16:54:12,"Why am I shocked by this? I should have anticipated it. I assume this means my parents might be out of luck on the second dose, maybe even on the first dose that they have appointments for next week?

#COVID19 https://t.co/82YeLMDDo7"
,2021-01-15 16:54:11,I understand that demonstrating for #COVID19 measures is distancing you from the #FarRight but cancelling #PublicTransport is really devouring huge parts of society of their basic rights.  #MegaLockdown #Covid1984 #YouLostIt
,2021-01-15 16:54:11,"Exactly what the social welfare department did to me for 2 years 

Treating me horrifically and interrogating me every time a job ended

Treating me like a scammer and causing me severe anxiety 

#wakeup #COVID19 #covid #lockdown #finegael #leovaradkar #reginadoherty #seetec https://t.co/54T8VGGOg1"
"Boston, MA",2021-01-15 16:54:05,"Within minutes — if it hasn't already happened — the global death toll from #Covid19 will top 2M. 
Within the next few hours, the US death toll will top 390,000. https://t.co/uxvYeFjgtI"
USA,2021-01-15 16:54:04,3C epiphany - The Japanese authorities understood covid-19 better than most | Asia | The Economist #COVID19 #COVID19TIMELINES  https://t.co/XiY0Xo4fjO
Roma,2021-01-15 16:54:04,News story: Government safeguards vital #Ferry #Services - https://t.co/jAZJM9KJKR #Agenparl #Coronavirus #Covid19 #Covidagenparl #Essential #Iorestoacasa #Pandemic #Support https://t.co/M3aj4oim83
Yorkshire and The Humber,2021-01-15 16:54:04,"❄️  Cool views  ❄️

#photography #potd #lockdownuk #WritingCommunity #art #COVID19 #photographer #Friday #Yorkshire #snow https://t.co/xDvAsfXoHH"
"Westborough, MA",2021-01-15 16:54:03,Join us on 1/19/21 in remembering all those who have been effected by the Covid-19 Virus and all those we have lost. #Remember #LovedOnes #Covid19 #RAHEWC #BeEssential https://t.co/cytIvoGxHo
,2021-01-15 16:54:00,"#covid19
My heart goes out to everyone affected and grieving from this virus I hope we can recover from this soon. https://t.co/4JMDKVdqjN"
"Thurston County, WA",2021-01-15 16:54:00,"Can the #Covid19 vaccine prevent infecting others?
“We have to operate on the assumption that you still have the ability to still have the virus and transmit, not get the disease, but be sort of a carrier.”
https://t.co/jaRYdT0nDv"
"Wolfville, Nova Scotia",2021-01-15 16:53:57,"@AnnamiePaul, while you may agree with the sentiment regarding the need for improved LTC oversight, it may be wise to discuss the remainder of this horribly cherry-picked and intellectually bankrupt letter. #GPC #COVID19 https://t.co/CKYOMnqB5m"
"Toronto, Ontario",2021-01-15 16:53:54,Check out our Jan person of influence @KizzyPhD aka the badass Black woman who helped develop Moderna's #COVID19 vaccine! https://t.co/94cKydRn86
At home ,2021-01-15 16:53:53,"I knew L.A. was in bad shape, but had no idea Arizona was a horrible hot-spot, too. #Covid19

https://t.co/5GF1U2sRNh"
"Walsall, West Midlands",2021-01-15 16:53:50,"Self-isolating, is an important part of stopping the transmission of #COVID19

➡️Work from home if you can
➡️Get essentials delivered to your door
➡️Exercise at home

 #StayAtHome 
#KeepWalsallSafe https://t.co/9vpguOU1NW"
Denmark,2021-01-15 16:53:49,"#Tehran,the capital of #Iran, is rated as 1 of the world's most polluted cities.All the while,the rgm is taking no serious measures 2 handle the issue+#COVID19 
https://t.co/7aRlFUTxM1
@DrTedros.@JohnsHopkins.@ECDC_Outbreaks.@MSF.@rki_de.@WHOEMRO.@WHOatEU.@antonioguterres #Pfizer"
